Folder Name,Gini Coefficient,Project Duration Score,Normalized Avg Commits/Day,Average Score,Total Committers,Average Commit Size,Gini-Committers Score,Project Duration Score Weighted,Normalized Avg Commits/Day Weighted,Average Score Weighted,Average Commit Size Weighted,Gini-Committers Score Weighted,Overall Quality Score
32blit-32blit-tools,0.3916967509025271,0.75,0.0,0.30909403472580366,0.0,0.5,0.0,0.15000000000000002,0.0,0.030909403472580366,0.05,0.0,0.231
3aransia-3aransia,0.5448979591836735,0.0,1.0,0.29504373177842563,0.0,1.0,0.0,0.0,0.2,0.029504373177842564,0.1,0.0,0.33
44xtc44-aacRepair,0.5212765957446808,0.0,0.0,0.2553191489361702,0.0,0.5,0.0,0.0,0.0,0.02553191489361702,0.05,0.0,0.076
4dgb-4DGBWorkflow,0.6,0.0,0.75,0.2031746031746032,0.0,0.5,0.0,0.0,0.15000000000000002,0.02031746031746032,0.05,0.0,0.22
51Degrees-Device-Detection,0.4171180931744311,1.0,0.0,0.3360160965794767,0.25,1.0,0.10427952329360778,0.2,0.0,0.033601609657947666,0.1,0.041711809317443116,0.375
56kyle-pychess,0.5094339622641509,0.0,1.0,0.27897574123989216,0.0,1.0,0.0,0.0,0.2,0.027897574123989216,0.1,0.0,0.328
5elenay-hyaline,0.4817073170731707,0.0,0.75,0.3588850174216028,0.0,1.0,0.0,0.0,0.15000000000000002,0.03588850174216028,0.1,0.0,0.286
6du-tv-6du-tv,1.0,0.0,1.0,0.23809523809523817,0.0,1.0,0.0,0.0,0.2,0.02380952380952382,0.1,0.0,0.324
6estates-idp-python,0.6029411764705882,0.0,0.0,0.24649859943977595,0.0,0.25,0.0,0.0,0.0,0.024649859943977597,0.025,0.0,0.05
A-Soul-Database-Asdb-Tools,0.1390485354042994,0.5,1.0,0.30397719253676575,1.0,0.25,0.1390485354042994,0.1,0.2,0.030397719253676576,0.025,0.05561941416171976,0.411
a10networks-a10-horizon,0.3766666666666667,0.0,0.5,0.2965079365079366,0.0,1.0,0.0,0.0,0.1,0.029650793650793664,0.1,0.0,0.23
a10networks-a10-neutron-lbaas,0.2394207422823449,1.0,0.25,0.2899757197363857,0.25,0.5,0.05985518557058622,0.2,0.05,0.028997571973638572,0.05,0.02394207422823449,0.353
a10networks-a10-neutronclient,0.5166666666666667,0.0,0.0,0.29417989417989426,0.0,0.5,0.0,0.0,0.0,0.029417989417989426,0.05,0.0,0.079
a10networks-a10-octavia,0.377110694183865,1.0,0.75,0.3053396468030614,0.5,0.5,0.1885553470919325,0.2,0.15000000000000002,0.03053396468030614,0.05,0.07542213883677301,0.506
a10networks-a10-openstack-lib,0.3879310344827587,0.5,0.0,0.3070607553366174,0.0,0.5,0.0,0.1,0.0,0.030706075533661743,0.05,0.0,0.181
a10networks-a10sdk-python,0.7777777777777779,0.0,0.0,0.3253968253968254,0.0,1.0,0.0,0.0,0.0,0.03253968253968254,0.1,0.0,0.133
aaditep-aadioptimize,1.0,0.0,1.0,0.2419047619047619,0.0,0.25,0.0,0.0,0.2,0.024190476190476193,0.025,0.0,0.249
aaditisawesome-hangman,0.6666666666666667,0.0,0.0,0.27705627705627706,0.0,0.25,0.0,0.0,0.0,0.027705627705627706,0.025,0.0,0.053
aafragpy-aafragpy,0.5555555555555556,0.25,0.0,0.23809523809523814,0.0,1.0,0.0,0.05,0.0,0.023809523809523815,0.1,0.0,0.174
aalto-speech-aalto-asr-preprocessor,0.6651376146788991,0.5,0.0,0.3488422892092617,0.0,0.5,0.0,0.1,0.0,0.03488422892092617,0.05,0.0,0.185
aandergr-kspalculator,0.2742857142857141,0.25,0.25,0.29863945578231293,0.0,0.25,0.0,0.05,0.05,0.029863945578231296,0.025,0.0,0.155
aaronduino-asciidots,0.2616136919315404,1.0,0.0,0.26440796367446734,0.25,0.25,0.0654034229828851,0.2,0.0,0.026440796367446735,0.025,0.026161369193154038,0.278
AARRR-aarrr.py,1.0,0.0,0.75,0.2857142857142857,0.0,0.25,0.0,0.0,0.15000000000000002,0.02857142857142857,0.025,0.0,0.204
aas-core-works-aas-core-codegen,0.2664705882352941,0.5,0.25,0.34218487394957986,0.0,1.0,0.0,0.1,0.05,0.03421848739495799,0.1,0.0,0.284
aas-core-works-aas-core-meta,0.2760416666666667,0.5,0.25,0.32775297619047616,0.0,1.0,0.0,0.1,0.05,0.03277529761904762,0.1,0.0,0.283
aas-core-works-aas-core3.0rc02-python,1.0,0.0,0.25,0.31972789115646266,0.0,1.0,0.0,0.0,0.05,0.031972789115646265,0.1,0.0,0.182
aasaanjobs-notification-hub-py-sdk,0.5714285714285714,0.0,0.0,0.2916666666666667,0.0,1.0,0.0,0.0,0.0,0.02916666666666667,0.1,0.0,0.129
aatifsyed-kvsh,1.0,0.0,0.0,0.24175824175824173,0.0,1.0,0.0,0.0,0.0,0.024175824175824173,0.1,0.0,0.124
aav-bots-upcoming-games,0.6538461538461539,0.0,1.0,0.2454212454212454,0.0,0.25,0.0,0.0,0.2,0.02454212454212454,0.025,0.0,0.25
aayushuppal-aaypyutil,0.6666666666666666,0.0,0.0,0.253968253968254,0.0,0.5,0.0,0.0,0.0,0.025396825396825404,0.05,0.0,0.075
Abbe98-ksamsok-py,0.8022388059701493,1.0,0.0,0.2537313432835821,0.0,0.0,0.0,0.2,0.0,0.02537313432835821,0.0,0.0,0.225
abel1311-hunts_gambit,1.0,0.0,1.0,0.2857142857142857,0.0,0.5,0.0,0.0,0.2,0.02857142857142857,0.05,0.0,0.279
aberrier-kurby,0.4274193548387097,0.5,0.0,0.2565284178187404,0.0,1.0,0.0,0.1,0.0,0.025652841781874044,0.1,0.0,0.226
abersheeran-a2wsgi,0.2309368191721132,0.75,0.0,0.2577030812324931,0.0,1.0,0.0,0.15000000000000002,0.0,0.02577030812324931,0.1,0.0,0.276
abersheeran-asgi-ratelimit,0.3424657534246575,0.5,0.0,0.27397260273972607,0.0,1.0,0.0,0.1,0.0,0.027397260273972608,0.1,0.0,0.227
abersheeran-kui,0.1588541666666667,0.75,0.5,0.273561507936508,0.0,1.0,0.0,0.15000000000000002,0.1,0.027356150793650804,0.1,0.0,0.377
aboSamoor-pycld2,0.4166666666666667,1.0,0.0,0.30238095238095236,0.0,1.0,0.0,0.2,0.0,0.030238095238095238,0.1,0.0,0.33
aburrell-aacgmv2,0.4914372425753307,1.0,0.0,0.2763205433918635,0.0,1.0,0.0,0.2,0.0,0.027632054339186352,0.1,0.0,0.328
acpuchades-hub-datatools,1.0,0.0,0.75,0.3008365508365509,0.0,0.75,0.0,0.0,0.15000000000000002,0.030083655083655094,0.07500000000000001,0.0,0.255
activeloopai-Hub,0.8333333333333333,0.0,0.75,0.2549603174603175,0.0,1.0,0.0,0.0,0.15000000000000002,0.025496031746031753,0.1,0.0,0.275
activeloopai-hub_shm,0.6825396825396826,0.25,0.0,0.2471655328798186,0.0,1.0,0.0,0.05,0.0,0.024716553287981863,0.1,0.0,0.175
acup1-asciii,0.5555555555555556,0.25,0.0,0.2777777777777778,0.0,0.25,0.0,0.05,0.0,0.02777777777777778,0.025,0.0,0.103
adafruit-a2woz,0.6462585034013606,0.75,0.0,0.2565597667638484,0.0,1.0,0.0,0.15000000000000002,0.0,0.02565597667638484,0.1,0.0,0.276
Adam-BH-ascii.py,1.0,0.0,1.0,0.2571428571428572,0.0,1.0,0.0,0.0,0.2,0.025714285714285717,0.1,0.0,0.326
adam-huganir-hugtools,1.0,0.5,0.0,0.2656641604010025,0.0,1.0,0.0,0.1,0.0,0.026566416040100252,0.1,0.0,0.227
adam757521-ksp.py,0.7727272727272727,0.0,0.5,0.27272727272727265,0.0,1.0,0.0,0.0,0.1,0.027272727272727268,0.1,0.0,0.227
adamchainz-kwargs-only,0.551948051948052,0.5,0.0,0.2925170068027211,0.0,0.25,0.0,0.1,0.0,0.029251700680272108,0.025,0.0,0.154
adamdempsey90-arxiv-checker,0.4518518518518517,0.75,0.0,0.31393298059964725,0.0,0.25,0.0,0.15000000000000002,0.0,0.03139329805996473,0.025,0.0,0.206
adamjermyn-arrfunc,1.0,0.0,1.0,0.3214285714285715,0.0,1.0,0.0,0.0,0.2,0.032142857142857154,0.1,0.0,0.332
AdiK1806-Topsis-Aditya-102003105,1.0,0.0,1.0,0.2619047619047619,0.0,1.0,0.0,0.0,0.2,0.026190476190476195,0.1,0.0,0.326
adler-j-huest,1.0,0.0,0.5,0.29100529100529104,0.0,0.5,0.0,0.0,0.1,0.029100529100529106,0.05,0.0,0.179
adonese-arraytolatex,0.8571428571428572,0.0,1.0,0.272108843537415,0.0,0.5,0.0,0.0,0.2,0.0272108843537415,0.05,0.0,0.277
adreankibe-111752,1.0,0.0,1.0,0.2380952380952381,0.0,1.0,0.0,0.0,0.2,0.02380952380952381,0.1,0.0,0.324
adrianchifor-arrpc,1.0,0.5,0.0,0.29192546583850937,0.0,0.5,0.0,0.1,0.0,0.02919254658385094,0.05,0.0,0.179
adriangb-asgi-background,0.54,0.0,0.0,0.24952380952380954,0.0,1.0,0.0,0.0,0.0,0.024952380952380955,0.1,0.0,0.125
af-inet-kubestash,0.3523809523809523,0.25,0.0,0.2568027210884353,0.0,0.25,0.0,0.05,0.0,0.025680272108843535,0.025,0.0,0.101
afer92-huawei_e3_e5,0.537037037037037,0.0,1.0,0.29100529100529104,0.0,0.75,0.0,0.0,0.2,0.029100529100529106,0.07500000000000001,0.0,0.304
afizs-assembly_ai,1.0,0.0,0.25,0.2619047619047619,0.0,0.75,0.0,0.0,0.05,0.026190476190476195,0.07500000000000001,0.0,0.151
agent-based-information-flow-simulation-agents-assembly-translator,0.5753424657534247,0.25,0.0,0.29484670580560984,0.0,1.0,0.0,0.05,0.0,0.029484670580560986,0.1,0.0,0.179
agrrh-huntflow-py,1.0,0.0,1.0,0.25850340136054417,0.0,0.0,0.0,0.0,0.2,0.025850340136054417,0.0,0.0,0.226
ahaensler-asc_viewer,1.0,0.0,0.0,0.2619047619047619,0.0,1.0,0.0,0.0,0.0,0.026190476190476195,0.1,0.0,0.126
AHDCreative-artek-eventlog,1.0,0.0,1.0,0.2857142857142857,0.0,1.0,0.0,0.0,0.2,0.02857142857142857,0.1,0.0,0.329
AHDCreative-artek-images,1.0,0.0,1.0,0.2619047619047619,0.0,1.0,0.0,0.0,0.2,0.026190476190476195,0.1,0.0,0.326
AHDCreative-artek-templates,1.0,0.0,1.0,0.2476190476190476,0.0,1.0,0.0,0.0,0.2,0.024761904761904763,0.1,0.0,0.325
AHDCreative-artek-webanalytics,1.0,0.0,1.0,0.21428571428571427,0.0,1.0,0.0,0.0,0.2,0.02142857142857143,0.1,0.0,0.321
AHDCreative-django_user_accounts,1.0,0.0,1.0,0.272108843537415,0.0,1.0,0.0,0.0,0.2,0.0272108843537415,0.1,0.0,0.327
ahknight-httpsig,0.4486921529175051,1.0,0.0,0.30382293762575446,0.0,0.75,0.0,0.2,0.0,0.03038229376257545,0.07500000000000001,0.0,0.305
ahmetkotan-kubesync,1.0,0.0,1.0,0.25,0.0,1.0,0.0,0.0,0.2,0.025,0.1,0.0,0.325
ahrirpc-arpc-python,1.0,0.0,0.0,0.19727891156462585,0.0,1.0,0.0,0.0,0.0,0.019727891156462587,0.1,0.0,0.12
AI-confused-arxiv_scrawl,0.8333333333333333,0.25,0.0,0.257936507936508,0.0,1.0,0.0,0.05,0.0,0.025793650793650803,0.1,0.0,0.176
ai-in-motion-moai,0.3912020701011526,0.5,0.25,0.25862822193097423,0.25,1.0,0.09780051752528815,0.1,0.05,0.025862822193097424,0.1,0.03912020701011526,0.315
aidangoettsch-asg,1.0,0.0,0.0,0.24060150375939848,0.0,1.0,0.0,0.0,0.0,0.02406015037593985,0.1,0.0,0.124
aio-libs-aiopg,0.1382869117261852,1.0,0.25,0.3097129884871088,0.75,0.25,0.1037151837946389,0.2,0.05,0.030971298848710884,0.025,0.04148607351785556,0.347
airspot-dev-krules,0.4623698172528984,0.5,0.75,0.2546669286696797,0.0,1.0,0.0,0.1,0.15000000000000002,0.025466692866967972,0.1,0.0,0.375
airspot-dev-krules-core,0.4015999999999999,0.25,0.0,0.2540952380952381,0.0,1.0,0.0,0.05,0.0,0.025409523809523812,0.1,0.0,0.175
airspot-dev-krules-dispatcher-cloudevents,0.4968553459119498,0.25,0.0,0.23989218328840975,0.0,0.25,0.0,0.05,0.0,0.023989218328840975,0.025,0.0,0.099
airspot-dev-krules-env,0.3703703703703703,0.0,0.0,0.25044091710758376,0.0,0.25,0.0,0.0,0.0,0.025044091710758377,0.025,0.0,0.05
airspot-dev-krules-flask-env,0.6111111111111112,0.0,0.0,0.25396825396825395,0.0,0.5,0.0,0.0,0.0,0.025396825396825397,0.05,0.0,0.075
aitec-mp-krakatoa,0.5961538461538461,0.25,0.0,0.2600732600732601,0.0,0.5,0.0,0.05,0.0,0.026007326007326012,0.05,0.0,0.126
ajefweiss-py3DCORE,0.8461538461538461,0.5,0.0,0.23626373626373623,0.0,1.0,0.0,0.1,0.0,0.023626373626373626,0.1,0.0,0.224
ajmunton-http_request_aggregator,0.8333333333333333,0.0,1.0,0.253968253968254,0.0,0.25,0.0,0.0,0.2,0.025396825396825404,0.025,0.0,0.25
aju100-asciju,0.4166666666666666,0.0,1.0,0.2494331065759638,0.0,0.25,0.0,0.0,0.2,0.02494331065759638,0.025,0.0,0.25
akhavr-42cc-pystyle,0.5,1.0,0.0,0.292063492063492,0.0,0.25,0.0,0.2,0.0,0.029206349206349205,0.025,0.0,0.254
akornatskyy-asgi-cli,1.0,0.75,0.0,0.3369272237196765,0.0,0.25,0.0,0.15000000000000002,0.0,0.03369272237196765,0.025,0.0,0.209
akoskaaa-3debt,1.0,0.0,0.0,0.2619047619047619,0.0,0.0,0.0,0.0,0.0,0.026190476190476195,0.0,0.0,0.026
AkritiSehgal-101703048_topsis,1.0,0.0,1.0,0.2857142857142857,0.0,0.75,0.0,0.0,0.2,0.02857142857142857,0.07500000000000001,0.0,0.304
alangordon258-lighthouse,0.1208279690463335,0.5,1.0,0.3091431181883443,1.0,1.0,0.1208279690463335,0.1,0.2,0.03091431181883443,0.1,0.0483311876185334,0.479
alanonca-python,1.0,0.0,1.0,0.253968253968254,0.0,0.25,0.0,0.0,0.2,0.025396825396825404,0.025,0.0,0.25
alashkov83-hydrocluster,0.3090277777777778,0.5,0.0,0.3111772486772487,0.0,1.0,0.0,0.1,0.0,0.031117724867724874,0.1,0.0,0.231
albertopasqualetto-Arrowverse-Reorderer,1.0,0.25,0.0,0.29315476190476186,0.0,0.25,0.0,0.05,0.0,0.029315476190476187,0.025,0.0,0.104
albertotonda-HumanModels,0.8409090909090908,0.0,0.75,0.3106060606060606,0.0,1.0,0.0,0.0,0.15000000000000002,0.031060606060606063,0.1,0.0,0.281
AleCandido-human_dates,0.5721393034825871,1.0,0.0,0.2928216062544421,0.0,0.25,0.0,0.2,0.0,0.029282160625444212,0.025,0.0,0.254
AlecThomson-aasjobalert,1.0,0.0,0.25,0.26406926406926406,0.0,0.25,0.0,0.0,0.05,0.026406926406926406,0.025,0.0,0.101
alejandroesquiva-AutomaticApiRest-PythonConnector,1.0,0.0,1.0,0.2619047619047619,0.0,1.0,0.0,0.0,0.2,0.026190476190476195,0.1,0.0,0.326
AlejandroFrias-case-conversion,0.7657657657657658,0.75,0.0,0.2998712998712999,0.0,1.0,0.0,0.15000000000000002,0.0,0.02998712998712999,0.1,0.0,0.28
aleph-im-active-record-sdk,0.5224719101123596,0.25,0.0,0.2568218298555377,0.0,0.5,0.0,0.05,0.0,0.025682182985553772,0.05,0.0,0.126
alewkinr-http-constants,0.6923076923076924,0.25,0.0,0.27960927960927956,0.0,1.0,0.0,0.05,0.0,0.02796092796092796,0.1,0.0,0.178
alex-oleshkevich-kupala,1.0,0.5,0.75,0.287743950039032,0.0,1.0,0.0,0.1,0.15000000000000002,0.028774395003903205,0.1,0.0,0.379
alex8224-fuse_for_kuaipan,0.3642857142857142,0.0,0.25,0.24914965986394555,0.0,1.0,0.0,0.0,0.05,0.024914965986394557,0.1,0.0,0.175
alexanderivrii-KutinSynthesisPlugin,0.6666666666666667,0.0,1.0,0.2698412698412699,0.0,1.0,0.0,0.0,0.2,0.02698412698412699,0.1,0.0,0.327
alexanderlukanin13-httpsig-pure-hmac,0.6516129032258065,1.0,0.0,0.2918586789554532,0.0,0.75,0.0,0.2,0.0,0.029185867895545323,0.07500000000000001,0.0,0.304
alexenge-hu-neuro-pipeline,0.5116959064327485,0.5,0.25,0.31551099972152613,0.0,0.5,0.0,0.1,0.05,0.031551099972152614,0.05,0.0,0.232
AlexisGomes-huesdk,0.578125,1.0,0.0,0.2529761904761905,0.0,0.5,0.0,0.2,0.0,0.025297619047619055,0.05,0.0,0.275
alexkyllo-kusto-tool,0.5533333333333333,0.25,0.0,0.24253968253968253,0.0,0.5,0.0,0.05,0.0,0.024253968253968253,0.05,0.0,0.124
alexmalykh-a2m.itertools,1.0,0.0,1.0,0.25850340136054417,0.0,1.0,0.0,0.0,0.2,0.025850340136054417,0.1,0.0,0.326
alexmojaki-asdb,1.0,0.25,0.0,0.2857142857142857,0.0,0.75,0.0,0.05,0.0,0.02857142857142857,0.07500000000000001,0.0,0.154
alexschw-ArrayViewer,0.5277777777777778,1.0,0.0,0.3158068783068783,0.0,0.75,0.0,0.2,0.0,0.031580687830687834,0.07500000000000001,0.0,0.307
alexxromero-kwak_wavelets,0.537037037037037,0.0,0.0,0.2116402116402116,0.0,1.0,0.0,0.0,0.0,0.021164021164021163,0.1,0.0,0.121
alibaba-HybridBackend,0.3353413654618474,0.25,0.0,0.306368330464716,0.0,1.0,0.0,0.05,0.0,0.030636833046471603,0.1,0.0,0.181
alinear-corp-kuzukiri,0.7,0.0,0.0,0.29761904761904756,0.0,0.75,0.0,0.0,0.0,0.029761904761904757,0.07500000000000001,0.0,0.105
AlJohri-asana-cli,0.6296296296296297,0.75,0.0,0.2698412698412698,0.0,0.75,0.0,0.15000000000000002,0.0,0.026984126984126985,0.07500000000000001,0.0,0.252
allekmott-aamras,1.0,0.0,0.5,0.30848861283643897,0.0,1.0,0.0,0.0,0.1,0.0308488612836439,0.1,0.0,0.231
allenai-HyBayes,0.8489304812834224,0.25,0.25,0.2717086834733894,0.0,0.5,0.0,0.05,0.05,0.02717086834733894,0.05,0.0,0.177
almarklein-asgineer,0.50625,0.75,0.0,0.2517857142857143,0.0,0.75,0.0,0.15000000000000002,0.0,0.02517857142857143,0.07500000000000001,0.0,0.25
almoulla-arve,0.4698795180722892,0.25,0.0,0.27940332759609865,0.0,1.0,0.0,0.05,0.0,0.027940332759609866,0.1,0.0,0.178
alopezrivera-huracan,0.4011627906976744,0.5,0.25,0.28925802879291257,0.0,1.0,0.0,0.1,0.05,0.02892580287929126,0.1,0.0,0.279
alwitt-httpmq-python,0.5188679245283019,0.0,1.0,0.31536388140161725,0.0,1.0,0.0,0.0,0.2,0.03153638814016173,0.1,0.0,0.332
amaiya-ktrain,0.073597016219967,1.0,1.0,0.2319802237835025,0.25,1.0,0.01839925405499175,0.2,0.2,0.023198022378350253,0.1,0.0073597016219967,0.531
amalgam8-a8ctl,0.326007326007326,0.0,0.25,0.26434676434676435,0.0,0.75,0.0,0.0,0.05,0.026434676434676438,0.07500000000000001,0.0,0.151
amarine7-Arxivtrends,1.0,0.0,0.75,0.25850340136054417,0.0,1.0,0.0,0.0,0.15000000000000002,0.025850340136054417,0.1,0.0,0.276
amaslyaev-aa_sbst_py,0.9583333333333331,0.0,1.0,0.2658730158730159,0.0,0.5,0.0,0.0,0.2,0.026587301587301593,0.05,0.0,0.277
ambv-black,0.2766994677143727,1.0,0.75,0.32414181204276865,1.0,1.0,0.2766994677143727,0.2,0.15000000000000002,0.032414181204276866,0.1,0.11067978708574909,0.593
ambv-httproxy,1.0,0.25,0.0,0.25198412698412703,0.0,0.5,0.0,0.05,0.0,0.025198412698412706,0.05,0.0,0.125
amckenna41-aaindex,0.5151515151515152,0.25,0.0,0.27994227994228,0.0,1.0,0.0,0.05,0.0,0.027994227994228002,0.1,0.0,0.178
aminahmadahmadi-aaaSvg,0.6041666666666666,0.5,0.0,0.2619047619047619,0.0,0.0,0.0,0.1,0.0,0.026190476190476195,0.0,0.0,0.126
amirali-kutt,0.3217391304347825,1.0,0.0,0.25776397515527955,0.0,1.0,0.0,0.2,0.0,0.025776397515527957,0.1,0.0,0.326
amjltc295-arsdkxml,1.0,0.0,1.0,0.3095238095238096,0.0,0.0,0.0,0.0,0.2,0.03095238095238096,0.0,0.0,0.231
Amourspirit-python-kwargshelper,0.8260869565217391,0.0,0.25,0.2556935817805384,0.0,1.0,0.0,0.0,0.05,0.025569358178053843,0.1,0.0,0.176
amp89-http_logger,1.0,0.0,0.75,0.2380952380952381,0.0,1.0,0.0,0.0,0.15000000000000002,0.02380952380952381,0.1,0.0,0.274
ananthanryn-ktu-mon,1.0,0.0,1.0,0.29523809523809524,0.0,1.0,0.0,0.0,0.2,0.029523809523809525,0.1,0.0,0.33
anatom3000-human_math,0.4471544715447155,0.0,0.5,0.27526132404181186,0.0,1.0,0.0,0.0,0.1,0.027526132404181187,0.1,0.0,0.228
andr1976-HydDown,0.3609958506224066,0.5,0.5,0.27899624580122506,0.0,0.25,0.0,0.1,0.1,0.027899624580122507,0.025,0.0,0.253
andreabonetti-asciibars,1.0,0.0,1.0,0.25925925925925924,0.0,1.0,0.0,0.0,0.2,0.025925925925925925,0.1,0.0,0.326
Andreasdahlberg-husky-tools,1.0,0.0,1.0,0.2970521541950113,0.0,0.25,0.0,0.0,0.2,0.029705215419501132,0.025,0.0,0.255
andreimarcu-aamnotifs,0.75,0.25,0.0,0.3,0.0,0.25,0.0,0.05,0.0,0.03,0.025,0.0,0.105
andrenarchy-krypy,0.4013015184381779,1.0,0.0,0.26670798471232315,0.0,0.5,0.0,0.2,0.0,0.026670798471232316,0.05,0.0,0.277
andreuva-HyDES,0.5487804878048781,0.0,1.0,0.26829268292682923,0.0,1.0,0.0,0.0,0.2,0.026829268292682923,0.1,0.0,0.327
AndrewAnnex-asap_stereo,0.50625,0.75,0.0,0.2648809523809524,0.0,1.0,0.0,0.15000000000000002,0.0,0.02648809523809524,0.1,0.0,0.276
andrewjpage-krocus,0.4199999999999999,1.0,0.0,0.24476190476190476,0.0,1.0,0.0,0.2,0.0,0.024476190476190478,0.1,0.0,0.324
andrewp-as-is-kv-cache.py,1.0,0.0,0.0,0.21428571428571427,0.0,0.5,0.0,0.0,0.0,0.02142857142857143,0.05,0.0,0.071
andrewtmmaher-waddle,0.5454545454545454,0.0,0.75,0.3268398268398269,0.0,0.25,0.0,0.0,0.15000000000000002,0.03268398268398269,0.025,0.0,0.208
andrivet-python-asn1,0.2464197530864196,1.0,0.0,0.30864197530864196,0.25,0.5,0.0616049382716049,0.2,0.0,0.030864197530864196,0.05,0.024641975308641963,0.306
andymccurdy-redis-py,0.2558991613212243,1.0,0.25,0.29718647040697815,1.0,0.75,0.2558991613212243,0.2,0.05,0.029718647040697817,0.07500000000000001,0.10235966452848973,0.457
andyyeyeye-ksalib,0.61,0.5,0.0,0.2419047619047619,0.0,1.0,0.0,0.1,0.0,0.024190476190476193,0.1,0.0,0.224
Anexen-pyxirr,0.2697368421052631,0.5,0.0,0.23085491506544145,0.0,1.0,0.0,0.1,0.0,0.023085491506544147,0.1,0.0,0.223
Angel-Hair-kth-timeoutdecorator,1.0,0.0,1.0,0.2619047619047619,0.0,0.75,0.0,0.0,0.2,0.026190476190476195,0.07500000000000001,0.0,0.301
anish175-101703072_handle_missing,1.0,0.0,1.0,0.2857142857142857,0.0,0.25,0.0,0.0,0.2,0.02857142857142857,0.025,0.0,0.254
ankitsainidev-a5dev,1.0,0.0,0.75,0.19047619047619047,0.0,1.0,0.0,0.0,0.15000000000000002,0.01904761904761905,0.1,0.0,0.269
ankushshah89-python-docx2txt,0.3846153846153847,0.75,0.0,0.2545787545787546,0.0,0.0,0.0,0.15000000000000002,0.0,0.025457875457875465,0.0,0.0,0.175
Anmol-Porwal18-kube_kombu,0.4814814814814815,0.25,0.0,0.31746031746031755,0.0,0.5,0.0,0.05,0.0,0.03174603174603176,0.05,0.0,0.132
AnnAnnFryingPan-aafp_database_connection,0.5686274509803922,0.0,0.0,0.31372549019607837,0.0,0.5,0.0,0.0,0.0,0.031372549019607836,0.05,0.0,0.081
ansible-asgi_amqp,0.3188405797101449,0.75,0.0,0.2743271221532092,0.0,0.25,0.0,0.15000000000000002,0.0,0.027432712215320922,0.025,0.0,0.202
anthonycorletti-hudson,1.0,0.25,0.0,0.24084249084249082,0.0,1.0,0.0,0.05,0.0,0.024084249084249082,0.1,0.0,0.174
anthonyprintup-hunt-match-telemetry,0.6343570057581573,0.25,1.0,0.3496024129421443,0.0,0.25,0.0,0.05,0.2,0.03496024129421443,0.025,0.0,0.31
anupama1990-Artery-C,0.5555555555555557,0.0,0.25,0.2526455026455027,0.0,1.0,0.0,0.0,0.05,0.025264550264550267,0.1,0.0,0.175
Anurag-Aggarwal-Outliers,1.0,0.0,0.75,0.2857142857142857,0.0,0.25,0.0,0.0,0.15000000000000002,0.02857142857142857,0.025,0.0,0.204
